      {16}	       {3}	25.2	59.4
      {14}	    {16,3}	5.4	21.1
    {16,3}	      {14}	5.4	21.4
   {16,14}	       {3}	5.4	49.1
    {3,14}	      {16}	5.4	79.4
      {16}	    {8,14}	6.8	16.0
       {8}	   {16,14}	6.8	15.0
      {14}	    {16,8}	6.8	26.6
    {16,8}	      {14}	6.8	22.5
   {16,14}	       {8}	6.8	61.8
    {8,14}	      {16}	6.8	60.7
       {8}	    {3,14}	6.0	13.3
       {3}	    {8,14}	6.0	20.0
      {14}	     {8,3}	6.0	23.4
     {8,3}	      {14}	6.0	23.3
    {8,14}	       {3}	6.0	53.6
    {3,14}	       {8}	6.0	88.2
      {16}	  {8,3,14}	5.4	12.7
       {8}	 {16,3,14}	5.4	11.9
       {3}	 {16,8,14}	5.4	18.0
      {14}	  {16,8,3}	5.4	21.1
    {16,8}	    {3,14}	5.4	17.9
    {16,3}	    {8,14}	5.4	21.4
   {16,14}	     {8,3}	5.4	49.1
     {8,3}	   {16,14}	5.4	20.9
    {8,14}	    {16,3}	5.4	48.2
    {3,14}	    {16,8}	5.4	79.4
  {16,8,3}	      {14}	5.4	22.5
 {16,8,14}	       {3}	5.4	79.4
 {16,3,14}	       {8}	5.4	100.0
  {8,3,14}	      {16}	5.4	90.0
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {16}	       {9}	13.2	31.1
       {9}	      {16}	13.2	47.5
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {9}	       {3}	9.4	33.8
       {3}	       {9}	9.4	31.3
       {8}	       {9}	13.8	30.5
       {9}	       {8}	13.8	49.6
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	     {9,3}	7.4	17.5
       {9}	    {16,3}	7.4	26.6
       {3}	    {16,9}	7.4	24.7
    {16,9}	       {3}	7.4	56.1
    {16,3}	       {9}	7.4	29.4
     {9,3}	      {16}	7.4	78.7
      {16}	     {8,9}	9.0	21.2
       {8}	    {16,9}	9.0	19.9
       {9}	    {16,8}	9.0	32.4
    {16,8}	       {9}	9.0	29.8
    {16,9}	       {8}	9.0	68.2
     {8,9}	      {16}	9.0	65.2
       {8}	     {9,3}	8.2	18.1
       {9}	     {8,3}	8.2	29.5
       {3}	     {8,9}	8.2	27.3
     {8,9}	       {3}	8.2	59.4
     {8,3}	       {9}	8.2	31.8
     {9,3}	       {8}	8.2	87.2
      {16}	   {8,9,3}	7.2	17.0
       {8}	  {16,9,3}	7.2	15.9
       {3}	  {16,8,9}	7.2	24.0
       {9}	  {16,8,3}	7.2	25.9
    {16,8}	     {9,3}	7.2	23.8
    {16,3}	     {8,9}	7.2	28.6
    {16,9}	     {8,3}	7.2	54.5
     {8,3}	    {16,9}	7.2	27.9
     {8,9}	    {16,3}	7.2	52.2
     {9,3}	    {16,8}	7.2	76.6
  {16,8,3}	       {9}	7.2	30.0
  {16,8,9}	       {3}	7.2	80.0
  {16,9,3}	       {8}	7.2	97.3
   {8,9,3}	      {16}	7.2	87.8
      {16}	      {18}	13.2	31.1
      {18}	      {16}	13.2	47.8
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {18}	       {3}	9.0	32.6
       {3}	      {18}	9.0	30.0
       {8}	      {18}	14.8	32.7
      {18}	       {8}	14.8	53.6
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
      {16}	    {18,3}	8.2	19.3
      {18}	    {16,3}	8.2	29.7
       {3}	   {16,18}	8.2	27.3
   {16,18}	       {3}	8.2	62.1
    {16,3}	      {18}	8.2	32.5
    {18,3}	      {16}	8.2	91.1
      {16}	    {8,18}	9.6	22.6
       {8}	   {16,18}	9.6	21.2
      {18}	    {16,8}	9.6	34.8
    {16,8}	      {18}	9.6	31.8
   {16,18}	       {8}	9.6	72.7
    {8,18}	      {16}	9.6	64.9
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
       {8}	    {18,3}	8.2	18.1
      {18}	     {8,3}	8.2	29.7
       {3}	    {8,18}	8.2	27.3
    {8,18}	       {3}	8.2	55.4
     {8,3}	      {18}	8.2	31.8
    {18,3}	       {8}	8.2	91.1
      {16}	  {8,18,3}	8.0	18.9
       {8}	 {16,18,3}	8.0	17.7
      {18}	  {16,8,3}	8.0	29.0
       {3}	 {16,8,18}	8.0	26.7
    {16,8}	    {18,3}	8.0	26.5
   {16,18}	     {8,3}	8.0	60.6
    {16,3}	    {8,18}	8.0	31.7
    {8,18}	    {16,3}	8.0	54.1
     {8,3}	   {16,18}	8.0	31.0
    {18,3}	    {16,8}	8.0	88.9
 {16,8,18}	       {3}	8.0	83.3
  {16,8,3}	      {18}	8.0	33.3
 {16,18,3}	       {8}	8.0	97.6
  {8,18,3}	      {16}	8.0	97.6
      {16}	       {2}	13.6	32.1
       {2}	      {16}	13.6	51.5
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
       {2}	       {3}	7.2	27.3
       {3}	       {2}	7.2	24.0
       {8}	       {2}	13.4	29.6
       {2}	       {8}	13.4	50.8
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
      {16}	     {2,3}	6.4	15.1
       {2}	    {16,3}	6.4	24.2
       {3}	    {16,2}	6.4	21.3
    {16,2}	       {3}	6.4	47.1
    {16,3}	       {2}	6.4	25.4
     {2,3}	      {16}	6.4	88.9
      {16}	     {8,2}	8.6	20.3
       {8}	    {16,2}	8.6	19.0
       {2}	    {16,8}	8.6	32.6
    {16,8}	       {2}	8.6	28.5
    {16,2}	       {8}	8.6	63.2
     {8,2}	      {16}	8.6	64.2
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
       {8}	     {2,3}	6.2	13.7
       {2}	     {8,3}	6.2	23.5
       {3}	     {8,2}	6.2	20.7
     {8,2}	       {3}	6.2	46.3
     {8,3}	       {2}	6.2	24.0
     {2,3}	       {8}	6.2	86.1
      {16}	   {8,2,3}	5.8	13.7
       {8}	  {16,2,3}	5.8	12.8
       {2}	  {16,8,3}	5.8	22.0
       {3}	  {16,8,2}	5.8	19.3
    {16,8}	     {2,3}	5.8	19.2
    {16,2}	     {8,3}	5.8	42.6
    {16,3}	     {8,2}	5.8	23.0
     {8,2}	    {16,3}	5.8	43.3
     {8,3}	    {16,2}	5.8	22.5
     {2,3}	    {16,8}	5.8	80.6
  {16,8,2}	       {3}	5.8	67.4
  {16,8,3}	       {2}	5.8	24.2
  {16,2,3}	       {8}	5.8	90.6
   {8,2,3}	      {16}	5.8	93.5
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {4}	10.6	25.0
       {4}	      {16}	10.6	43.1
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
       {3}	       {4}	8.4	28.0
       {4}	       {3}	8.4	34.1
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {8}	       {4}	11.8	26.1
       {4}	       {8}	11.8	48.0
      {16}	     {3,4}	6.2	14.6
       {3}	    {16,4}	6.2	20.7
       {4}	    {16,3}	6.2	25.2
    {16,3}	       {4}	6.2	24.6
    {16,4}	       {3}	6.2	58.5
     {3,4}	      {16}	6.2	73.8
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	     {8,4}	7.2	17.0
       {8}	    {16,4}	7.2	15.9
       {4}	    {16,8}	7.2	29.3
    {16,8}	       {4}	7.2	23.8
    {16,4}	       {8}	7.2	67.9
     {8,4}	      {16}	7.2	61.0
       {8}	     {3,4}	7.4	16.4
       {3}	     {8,4}	7.4	24.7
       {4}	     {8,3}	7.4	30.1
     {8,3}	       {4}	7.4	28.7
     {8,4}	       {3}	7.4	62.7
     {3,4}	       {8}	7.4	88.1
      {16}	   {8,3,4}	6.2	14.6
       {8}	  {16,3,4}	6.2	13.7
       {3}	  {16,8,4}	6.2	20.7
       {4}	  {16,8,3}	6.2	25.2
    {16,8}	     {3,4}	6.2	20.5
    {16,3}	     {8,4}	6.2	24.6
    {16,4}	     {8,3}	6.2	58.5
     {8,3}	    {16,4}	6.2	24.0
     {8,4}	    {16,3}	6.2	52.5
     {3,4}	    {16,8}	6.2	73.8
  {16,8,3}	       {4}	6.2	25.8
  {16,8,4}	       {3}	6.2	86.1
  {16,3,4}	       {8}	6.2	100.0
   {8,3,4}	      {16}	6.2	83.8
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {5}	12.2	28.8
       {5}	      {16}	12.2	48.4
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
       {3}	       {5}	7.8	26.0
       {5}	       {3}	7.8	31.0
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {8}	       {5}	12.6	27.9
       {5}	       {8}	12.6	50.0
      {16}	     {3,5}	7.0	16.5
       {3}	    {16,5}	7.0	23.3
       {5}	    {16,3}	7.0	27.8
    {16,3}	       {5}	7.0	27.8
    {16,5}	       {3}	7.0	57.4
     {3,5}	      {16}	7.0	89.7
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	     {8,5}	9.2	21.7
       {8}	    {16,5}	9.2	20.4
       {5}	    {16,8}	9.2	36.5
    {16,8}	       {5}	9.2	30.5
    {16,5}	       {8}	9.2	75.4
     {8,5}	      {16}	9.2	73.0
       {8}	     {3,5}	6.8	15.0
       {3}	     {8,5}	6.8	22.7
       {5}	     {8,3}	6.8	27.0
     {8,3}	       {5}	6.8	26.4
     {8,5}	       {3}	6.8	54.0
     {3,5}	       {8}	6.8	87.2
      {16}	   {8,3,5}	6.6	15.6
       {8}	  {16,3,5}	6.6	14.6
       {3}	  {16,8,5}	6.6	22.0
       {5}	  {16,8,3}	6.6	26.2
    {16,8}	     {3,5}	6.6	21.9
    {16,3}	     {8,5}	6.6	26.2
    {16,5}	     {8,3}	6.6	54.1
     {8,3}	    {16,5}	6.6	25.6
     {8,5}	    {16,3}	6.6	52.4
     {3,5}	    {16,8}	6.6	84.6
  {16,8,3}	       {5}	6.6	27.5
  {16,8,5}	       {3}	6.6	71.7
  {16,3,5}	       {8}	6.6	94.3
   {8,3,5}	      {16}	6.6	97.1
      {16}	       {1}	16.2	38.2
       {1}	      {16}	16.2	54.4
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
       {1}	       {3}	10.8	36.2
       {3}	       {1}	10.8	36.0
       {8}	       {1}	15.4	34.1
       {1}	       {8}	15.4	51.7
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
      {16}	     {1,3}	9.6	22.6
       {1}	    {16,3}	9.6	32.2
       {3}	    {16,1}	9.6	32.0
    {16,1}	       {3}	9.6	59.3
    {16,3}	       {1}	9.6	38.1
     {1,3}	      {16}	9.6	88.9
      {16}	     {8,1}	11.6	27.4
       {1}	    {16,8}	11.6	38.9
       {8}	    {16,1}	11.6	25.7
    {16,1}	       {8}	11.6	71.6
    {16,8}	       {1}	11.6	38.4
     {8,1}	      {16}	11.6	75.3
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
       {8}	     {1,3}	9.6	21.2
       {1}	     {8,3}	9.6	32.2
       {3}	     {8,1}	9.6	32.0
     {8,1}	       {3}	9.6	62.3
     {8,3}	       {1}	9.6	37.2
     {1,3}	       {8}	9.6	88.9
      {16}	   {8,1,3}	9.4	22.2
       {1}	  {16,8,3}	9.4	31.5
       {3}	  {16,1,8}	9.4	31.3
       {8}	  {16,1,3}	9.4	20.8
    {16,1}	     {8,3}	9.4	58.0
    {16,3}	     {8,1}	9.4	37.3
    {16,8}	     {1,3}	9.4	31.1
     {1,3}	    {16,8}	9.4	87.0
     {8,1}	    {16,3}	9.4	61.0
     {8,3}	    {16,1}	9.4	36.4
  {16,1,3}	       {8}	9.4	97.9
  {16,1,8}	       {3}	9.4	81.0
  {16,8,3}	       {1}	9.4	39.2
   {8,1,3}	      {16}	9.4	97.9
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {16}	      {11}	12.2	28.8
      {11}	      {16}	12.2	44.5
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
      {11}	       {3}	7.8	28.5
       {3}	      {11}	7.8	26.0
       {8}	      {11}	12.4	27.4
      {11}	       {8}	12.4	45.3
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	    {3,11}	6.6	15.6
      {11}	    {16,3}	6.6	24.1
       {3}	   {16,11}	6.6	22.0
   {16,11}	       {3}	6.6	54.1
    {16,3}	      {11}	6.6	26.2
    {3,11}	      {16}	6.6	84.6
      {16}	    {8,11}	8.2	19.3
       {8}	   {16,11}	8.2	18.1
      {11}	    {16,8}	8.2	29.9
    {16,8}	      {11}	8.2	27.2
   {16,11}	       {8}	8.2	67.2
    {8,11}	      {16}	8.2	66.1
       {8}	    {3,11}	6.6	14.6
      {11}	     {8,3}	6.6	24.1
       {3}	    {8,11}	6.6	22.0
    {8,11}	       {3}	6.6	53.2
     {8,3}	      {11}	6.6	25.6
    {3,11}	       {8}	6.6	84.6
      {16}	  {8,11,3}	6.4	15.1
       {8}	 {16,11,3}	6.4	14.2
       {3}	 {16,8,11}	6.4	21.3
      {11}	  {16,8,3}	6.4	23.4
    {16,8}	    {11,3}	6.4	21.2
    {16,3}	    {8,11}	6.4	25.4
   {16,11}	     {8,3}	6.4	52.5
     {8,3}	   {16,11}	6.4	24.8
    {8,11}	    {16,3}	6.4	51.6
    {11,3}	    {16,8}	6.4	82.1
  {16,8,3}	      {11}	6.4	26.7
 {16,8,11}	       {3}	6.4	78.0
 {16,11,3}	       {8}	6.4	97.0
  {8,11,3}	      {16}	6.4	97.0
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {16}	      {15}	13.8	32.5
      {15}	      {16}	13.8	49.3
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {3}	      {15}	7.6	25.3
      {15}	       {3}	7.6	27.1
       {8}	      {15}	12.4	27.4
      {15}	       {8}	12.4	44.3
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	    {3,15}	6.2	14.6
       {3}	   {16,15}	6.2	20.7
      {15}	    {16,3}	6.2	22.1
    {16,3}	      {15}	6.2	24.6
   {16,15}	       {3}	6.2	44.9
    {3,15}	      {16}	6.2	81.6
      {16}	    {8,15}	8.6	20.3
       {8}	   {16,15}	8.6	19.0
      {15}	    {16,8}	8.6	30.7
    {16,8}	      {15}	8.6	28.5
   {16,15}	       {8}	8.6	62.3
    {8,15}	      {16}	8.6	69.4
       {8}	    {3,15}	6.2	13.7
       {3}	    {8,15}	6.2	20.7
      {15}	     {8,3}	6.2	22.1
     {8,3}	      {15}	6.2	24.0
    {8,15}	       {3}	6.2	50.0
    {3,15}	       {8}	6.2	81.6
      {16}	  {8,3,15}	5.8	13.7
       {8}	 {16,3,15}	5.8	12.8
       {3}	 {16,8,15}	5.8	19.3
      {15}	  {16,8,3}	5.8	20.7
    {16,8}	    {3,15}	5.8	19.2
    {16,3}	    {8,15}	5.8	23.0
   {16,15}	     {8,3}	5.8	42.0
     {8,3}	   {16,15}	5.8	22.5
    {8,15}	    {16,3}	5.8	46.8
    {3,15}	    {16,8}	5.8	76.3
  {16,8,3}	      {15}	5.8	24.2
 {16,8,15}	       {3}	5.8	67.4
 {16,3,15}	       {8}	5.8	93.5
  {8,3,15}	      {16}	5.8	93.5
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {16}	      {13}	13.8	32.5
      {13}	      {16}	13.8	46.6
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {3}	      {13}	9.0	30.0
      {13}	       {3}	9.0	30.4
       {8}	      {13}	14.4	31.9
      {13}	       {8}	14.4	48.6
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	    {3,13}	7.4	17.5
       {3}	   {16,13}	7.4	24.7
      {13}	    {16,3}	7.4	25.0
    {16,3}	      {13}	7.4	29.4
   {16,13}	       {3}	7.4	53.6
    {3,13}	      {16}	7.4	82.2
      {16}	    {8,13}	9.4	22.2
       {8}	   {16,13}	9.4	20.8
      {13}	    {16,8}	9.4	31.8
    {16,8}	      {13}	9.4	31.1
   {16,13}	       {8}	9.4	68.1
    {8,13}	      {16}	9.4	65.3
       {8}	    {3,13}	8.0	17.7
       {3}	    {8,13}	8.0	26.7
      {13}	     {8,3}	8.0	27.0
     {8,3}	      {13}	8.0	31.0
    {8,13}	       {3}	8.0	55.6
    {3,13}	       {8}	8.0	88.9
      {16}	  {8,3,13}	7.4	17.5
       {8}	 {16,3,13}	7.4	16.4
       {3}	 {16,8,13}	7.4	24.7
      {13}	  {16,8,3}	7.4	25.0
    {16,8}	    {3,13}	7.4	24.5
    {16,3}	    {8,13}	7.4	29.4
   {16,13}	     {8,3}	7.4	53.6
     {8,3}	   {16,13}	7.4	28.7
    {8,13}	    {16,3}	7.4	51.4
    {3,13}	    {16,8}	7.4	82.2
  {16,8,3}	      {13}	7.4	30.8
 {16,8,13}	       {3}	7.4	78.7
 {16,3,13}	       {8}	7.4	100.0
  {8,3,13}	      {16}	7.4	92.5
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {6}	10.8	25.5
       {6}	      {16}	10.8	47.8
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
       {3}	       {6}	6.2	20.7
       {6}	       {3}	6.2	27.4
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {8}	       {6}	12.6	27.9
       {6}	       {8}	12.6	55.8
      {16}	     {3,6}	5.6	13.2
       {3}	    {16,6}	5.6	18.7
       {6}	    {16,3}	5.6	24.8
    {16,3}	       {6}	5.6	22.2
    {16,6}	       {3}	5.6	51.9
     {3,6}	      {16}	5.6	90.3
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	     {8,6}	7.6	17.9
       {8}	    {16,6}	7.6	16.8
       {6}	    {16,8}	7.6	33.6
    {16,8}	       {6}	7.6	25.2
    {16,6}	       {8}	7.6	70.4
     {8,6}	      {16}	7.6	60.3
       {8}	     {3,6}	5.6	12.4
       {3}	     {8,6}	5.6	18.7
       {6}	     {8,3}	5.6	24.8
     {8,3}	       {6}	5.6	21.7
     {8,6}	       {3}	5.6	44.4
     {3,6}	       {8}	5.6	90.3
      {16}	   {8,3,6}	5.4	12.7
       {8}	  {16,3,6}	5.4	11.9
       {3}	  {16,8,6}	5.4	18.0
       {6}	  {16,8,3}	5.4	23.9
    {16,8}	     {3,6}	5.4	17.9
    {16,3}	     {8,6}	5.4	21.4
    {16,6}	     {8,3}	5.4	50.0
     {8,3}	    {16,6}	5.4	20.9
     {8,6}	    {16,3}	5.4	42.9
     {3,6}	    {16,8}	5.4	87.1
  {16,8,3}	       {6}	5.4	22.5
  {16,8,6}	       {3}	5.4	71.1
  {16,3,6}	       {8}	5.4	96.4
   {8,3,6}	      {16}	5.4	96.4
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {16}	      {12}	13.4	31.6
      {12}	      {16}	13.4	54.9
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {3}	      {12}	8.0	26.7
      {12}	       {3}	8.0	32.8
       {8}	      {12}	11.8	26.1
      {12}	       {8}	11.8	48.4
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	    {3,12}	7.0	16.5
       {3}	   {16,12}	7.0	23.3
      {12}	    {16,3}	7.0	28.7
    {16,3}	      {12}	7.0	27.8
   {16,12}	       {3}	7.0	52.2
    {3,12}	      {16}	7.0	87.5
      {16}	    {8,12}	9.2	21.7
       {8}	   {16,12}	9.2	20.4
      {12}	    {16,8}	9.2	37.7
    {16,8}	      {12}	9.2	30.5
   {16,12}	       {8}	9.2	68.7
    {8,12}	      {16}	9.2	78.0
       {8}	    {3,12}	6.8	15.0
       {3}	    {8,12}	6.8	22.7
      {12}	     {8,3}	6.8	27.9
     {8,3}	      {12}	6.8	26.4
    {8,12}	       {3}	6.8	57.6
    {3,12}	       {8}	6.8	85.0
      {16}	  {8,3,12}	6.4	15.1
       {8}	 {16,3,12}	6.4	14.2
       {3}	 {16,8,12}	6.4	21.3
      {12}	  {16,8,3}	6.4	26.2
    {16,8}	    {3,12}	6.4	21.2
    {16,3}	    {8,12}	6.4	25.4
   {16,12}	     {8,3}	6.4	47.8
     {8,3}	   {16,12}	6.4	24.8
    {8,12}	    {16,3}	6.4	54.2
    {3,12}	    {16,8}	6.4	80.0
  {16,8,3}	      {12}	6.4	26.7
 {16,8,12}	       {3}	6.4	69.6
 {16,3,12}	       {8}	6.4	91.4
  {8,3,12}	      {16}	6.4	94.1
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	      {19}	11.8	27.8
      {19}	      {16}	11.8	49.2
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {19}	       {3}	7.2	30.0
       {3}	      {19}	7.2	24.0
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {8}	      {19}	13.2	29.2
      {19}	       {8}	13.2	55.0
      {16}	    {3,19}	5.6	13.2
      {19}	    {16,3}	5.6	23.3
       {3}	   {16,19}	5.6	18.7
   {16,19}	       {3}	5.6	47.5
    {16,3}	      {19}	5.6	22.2
    {3,19}	      {16}	5.6	77.8
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	    {8,19}	8.4	19.8
       {8}	   {16,19}	8.4	18.6
      {19}	    {16,8}	8.4	35.0
    {16,8}	      {19}	8.4	27.8
   {16,19}	       {8}	8.4	71.2
    {8,19}	      {16}	8.4	63.6
      {19}	     {8,3}	6.2	25.8
       {8}	    {3,19}	6.2	13.7
       {3}	    {8,19}	6.2	20.7
    {8,19}	       {3}	6.2	47.0
    {3,19}	       {8}	6.2	86.1
     {8,3}	      {19}	6.2	24.0
      {16}	  {3,8,19}	5.6	13.2
      {19}	  {16,8,3}	5.6	23.3
       {3}	 {16,8,19}	5.6	18.7
       {8}	 {16,3,19}	5.6	12.4
   {16,19}	     {8,3}	5.6	47.5
    {16,3}	    {8,19}	5.6	22.2
    {16,8}	    {3,19}	5.6	18.5
    {3,19}	    {16,8}	5.6	77.8
    {8,19}	    {16,3}	5.6	42.4
     {8,3}	   {16,19}	5.6	21.7
